"Reporting year","Provider country/institution - code","Provider country/institution - name","Provider agency","Provider project number","TOSSD ID Number","TOSSD recipient - code","TOSSD recipient - name",Region,"Project title",Description,"External link","SDG focus","SDG goal level explanation",Keywords,"Sector category - code","Sector category - name","Purpose code","Purpose name",ISICcode,"ISIC name","ISIC lvl","ISIC description letter lvl","Channel category - code","Channel category - name","Other Partners","Channel - code","Channel - name",Channel,"Modality - code","Modality - name","Financial instrument - code","Financial instrument - name","Financing arrangement - code","Financing arrangement - name","Framework of collaboration - code","Framework of collaboration - name","TOSSD pillar","TOSSD sub-pillar","Amount committed (USD thousand)","Deflated Amount committed (USD thousand)","Amount disbursed (USD thousand)","Deflated amount disbursed (USD thousand)","Reflows to the provider (USD thousand)","Deflated reflows to the provider (USD thousand)","Amount mobilised  (USD thousand)","Deflated amount mobilised  (USD thousand)","Salary cost (PPPs)",Concessionality,"Maturity (in months)","Leveraging mechanism","Origin of the funds mobilised","Source name"
2021,928,"World Health Organisation","In-kind contributions - regional and global (non-developmental)",4_434_41702_1.3.5,2021004020,434,Chile,"South America","4_434_41702_1.3.5 1.3 Improved access to essential medicines, vaccines, diagnostics and devices for primary health care","4_434_41702_1.3.5 Countries enabled to address antimicrobial resistance through strengthened surveillance systems, laboratory capacity, infection prevention and control, awareness-raising and evidence-based policies and practices",,3.b;3.8,,,120,Health,12220,"Basic health care",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,66.215,67.985095991331,66.215,67.985095991331,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","In-kind contributions - regional and global (non-developmental)",4_434_41702_1.3.5,2021004020,434,Chile,"South America","4_434_41702_1.3.5 1.3 Improved access to essential medicines, vaccines, diagnostics and devices for primary health care","4_434_41702_1.3.5 Countries enabled to address antimicrobial resistance through strengthened surveillance systems, laboratory capacity, infection prevention and control, awareness-raising and evidence-based policies and practices",,3.b;3.8,,,120,Health,12250,"Infectious disease control",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,3.895,3.9991232936077,3.895,3.9991232936077,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","In-kind contributions - regional and global (non-developmental)",4_434_41702_1.3.5,2021004020,434,Chile,"South America","4_434_41702_1.3.5 1.3 Improved access to essential medicines, vaccines, diagnostics and devices for primary health care","4_434_41702_1.3.5 Countries enabled to address antimicrobial resistance through strengthened surveillance systems, laboratory capacity, infection prevention and control, awareness-raising and evidence-based policies and practices",,3.b;3.8,,,120,Health,12281,"Health personnel development",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,3.895,3.9991232936077,3.895,3.9991232936077,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","In-kind contributions - regional and global (non-developmental)",4_434_41702_1.1.2,2021004019,434,Chile,"South America","4_434_41702_1.1.2 1.1 Improved access to quality essential health services","4_434_41702_1.1.2 Countries enabled to strengthen their health systems to deliver on condition- and disease-specific service coverage results",,9.5;3.8;3.7,,,120,Health,12250,"Infectious disease control",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,9.745,10.005508728166,9.745,10.005508728166,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","In-kind contributions - regional and global (non-developmental)",4_434_41702_1.1.2,2021004019,434,Chile,"South America","4_434_41702_1.1.2 1.1 Improved access to quality essential health services","4_434_41702_1.1.2 Countries enabled to strengthen their health systems to deliver on condition- and disease-specific service coverage results",,9.5;3.8;3.7,,,120,Health,12110,"Health policy and administrative management",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,136.43,140.07712219433,136.43,140.07712219433,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","In-kind contributions - regional and global (non-developmental)",4_434_41702_1.1.2,2021004019,434,Chile,"South America","4_434_41702_1.1.2 1.1 Improved access to quality essential health services","4_434_41702_1.1.2 Countries enabled to strengthen their health systems to deliver on condition- and disease-specific service coverage results",,9.5;3.8;3.7,,,120,Health,12220,"Basic health care",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,9.745,10.005508728166,9.745,10.005508728166,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","In-kind contributions - regional and global (non-developmental)",4_434_41702_1.1.2,2021004019,434,Chile,"South America","4_434_41702_1.1.2 1.1 Improved access to quality essential health services","4_434_41702_1.1.2 Countries enabled to strengthen their health systems to deliver on condition- and disease-specific service coverage results",,9.5;3.8;3.7,,,120,Health,12263,"Tuberculosis control",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,9.745,10.005508728166,9.745,10.005508728166,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","In-kind contributions - regional and global (non-developmental)",4_434_41702_1.1.2,2021004019,434,Chile,"South America","4_434_41702_1.1.2 1.1 Improved access to quality essential health services","4_434_41702_1.1.2 Countries enabled to strengthen their health systems to deliver on condition- and disease-specific service coverage results",,9.5;3.8;3.7,,,120,Health,12281,"Health personnel development",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,29.235,30.016526184498,29.235,30.016526184498,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","WHO Core Voluntary contributions - regional and global (non-developmental)",3_434_41143_3.2.1,2021002412,434,Chile,"South America","3_434_41143_3.2.1 3.2 Risk factors reduced through multisectoral action","3_434_41143_3.2.1 Countries enabled to develop and implement technical packages to address risk factors through multisectoral action",,3.d;3.5;3.4;2.2,,,120,Health,12220,"Basic health care",86,"Human health activities",Q,"Human health and social work activities",41100,,,41143,"World Health Organisation - core voluntary contributions account",WHO-CVCA,C01,Projects,110,"Standard grant",,,,,1,1,3.38,3.470356028856,3.38,3.470356028856,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","WHO Core Voluntary contributions - regional and global (non-developmental)",3_434_41143_3.2.1,2021002412,434,Chile,"South America","3_434_41143_3.2.1 3.2 Risk factors reduced through multisectoral action","3_434_41143_3.2.1 Countries enabled to develop and implement technical packages to address risk factors through multisectoral action",,3.d;3.5;3.4;2.2,,,120,Health,12240,"Basic nutrition",87,"Residential care activities",Q,"Human health and social work activities",41100,,,41143,"World Health Organisation - core voluntary contributions account",WHO-CVCA,C01,Projects,110,"Standard grant",,,,,1,1,10.14,10.411068086568,10.14,10.411068086568,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","WHO Core Voluntary contributions - regional and global (non-developmental)",3_434_41143_3.2.1,2021002412,434,Chile,"South America","3_434_41143_3.2.1 3.2 Risk factors reduced through multisectoral action","3_434_41143_3.2.1 Countries enabled to develop and implement technical packages to address risk factors through multisectoral action",,3.d;3.5;3.4;2.2,,,120,Health,12340,"Promotion of mental health and well-being",8690,"Other human health activities",Q,"Human health and social work activities",41100,,,41143,"World Health Organisation - core voluntary contributions account",WHO-CVCA,C01,Projects,110,"Standard grant",,,,,1,1,6.76,6.940712057712,6.76,6.940712057712,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","WHO Core Voluntary contributions - regional and global (non-developmental)",3_434_41143_3.2.1,2021002412,434,Chile,"South America","3_434_41143_3.2.1 3.2 Risk factors reduced through multisectoral action","3_434_41143_3.2.1 Countries enabled to develop and implement technical packages to address risk factors through multisectoral action",,3.d;3.5;3.4;2.2,,,120,Health,12350,"Other prevention and treatment of NCDs",86,"Human health activities",Q,"Human health and social work activities",41100,,,41143,"World Health Organisation - core voluntary contributions account",WHO-CVCA,C01,Projects,110,"Standard grant",,,,,1,1,43.94,45.114628375128,43.94,45.114628375128,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","WHO Core Voluntary contributions - regional and global (non-developmental)",3_434_41143_3.1.1,2021002411,434,Chile,"South America","3_434_41143_3.1.1 3.1 Determinants of health addressed","3_434_41143_3.1.1 Countries enabled to address social determinants of health across the life course",,3.9;3.8;3.4,,,120,Health,12250,"Infectious disease control",86,"Human health activities",Q,"Human health and social work activities",41100,,,41143,"World Health Organisation - core voluntary contributions account",WHO-CVCA,C01,Projects,110,"Standard grant",,,,,1,1,2.25,2.3101482440609,2.25,2.3101482440609,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","WHO Core Voluntary contributions - regional and global (non-developmental)",3_434_41143_3.1.1,2021002411,434,Chile,"South America","3_434_41143_3.1.1 3.1 Determinants of health addressed","3_434_41143_3.1.1 Countries enabled to address social determinants of health across the life course",,3.9;3.8;3.4,,,120,Health,12350,"Other prevention and treatment of NCDs",86,"Human health activities",Q,"Human health and social work activities",41100,,,41143,"World Health Organisation - core voluntary contributions account",WHO-CVCA,C01,Projects,110,"Standard grant",,,,,1,1,2.25,2.3101482440609,2.25,2.3101482440609,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","WHO Core Voluntary contributions - regional and global (non-developmental)",3_434_41143_1.3.3,2021002410,434,Chile,"South America","3_434_41143_1.3.3 1.3 Improved access to essential medicines, vaccines, diagnostics and devices for primary health care","3_434_41143_1.3.3 Country and regional regulatory capacity strengthened, and supply of quality-assured and safe health products improved",,3.b;3.8,,,120,Health,12110,"Health policy and administrative management",86,"Human health activities",Q,"Human health and social work activities",41100,,,41143,"World Health Organisation - core voluntary contributions account",WHO-CVCA,C01,Projects,110,"Standard grant",,,,,1,1,2.775,2.8491828343418,2.775,2.8491828343418,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","WHO Core Voluntary contributions - regional and global (non-developmental)",3_434_41143_1.3.3,2021002410,434,Chile,"South America","3_434_41143_1.3.3 1.3 Improved access to essential medicines, vaccines, diagnostics and devices for primary health care","3_434_41143_1.3.3 Country and regional regulatory capacity strengthened, and supply of quality-assured and safe health products improved",,3.b;3.8,,,120,Health,12281,"Health personnel development",86,"Human health activities",Q,"Human health and social work activities",41100,,,41143,"World Health Organisation - core voluntary contributions account",WHO-CVCA,C01,Projects,110,"Standard grant",,,,,1,1,2.775,2.8491828343418,2.775,2.8491828343418,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","WHO Core Voluntary contributions - regional and global (non-developmental)",3_434_41143_1.3.3,2021002410,434,Chile,"South America","3_434_41143_1.3.3 1.3 Improved access to essential medicines, vaccines, diagnostics and devices for primary health care","3_434_41143_1.3.3 Country and regional regulatory capacity strengthened, and supply of quality-assured and safe health products improved",,3.b;3.8,,,120,Health,12250,"Infectious disease control",86,"Human health activities",Q,"Human health and social work activities",41100,,,41143,"World Health Organisation - core voluntary contributions account",WHO-CVCA,C01,Projects,110,"Standard grant",,,,,1,1,2.775,2.8491828343418,2.775,2.8491828343418,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","WHO Core Voluntary contributions - regional and global (non-developmental)",3_434_41143_1.3.3,2021002410,434,Chile,"South America","3_434_41143_1.3.3 1.3 Improved access to essential medicines, vaccines, diagnostics and devices for primary health care","3_434_41143_1.3.3 Country and regional regulatory capacity strengthened, and supply of quality-assured and safe health products improved",,3.b;3.8,,,120,Health,12220,"Basic health care",86,"Human health activities",Q,"Human health and social work activities",41100,,,41143,"World Health Organisation - core voluntary contributions account",WHO-CVCA,C01,Projects,110,"Standard grant",,,,,1,1,47.175,48.436108183811,47.175,48.436108183811,0,0,0,0,0,,,,,TOSSD
