"Nombre_Partida","Nombre_Programa","String_name","partida","capitulo","codigo_programa_presupuestario","area","subtitulo","item","asignacion"
"MINISTERIO DE CIENCIAS Y TECNOLOGÍA","ANID","Fondo de Financiamiento de Centros de Investigación en Áreas Prioritarias (FONDAP) ",30,2,"NA",1,24,3,326
"MINISTERIO DE CIENCIAS Y TECNOLOGÍA","ANID","Acceso a la información electrónica para la ciencia y tecnología",30,2,"NA",1,24,1,229
"MINISTERIO DE CIENCIAS Y TECNOLOGÍA","ANID","GASTO CORRIENTE",30,2,"NA",1,"NA","NA","NA"
"MINISTERIO DE CIENCIAS Y TECNOLOGÍA","ANID","Fondo de Fomento Ciencia y Tecnología (FONDEF)",30,2,"NA",1,24,3,161
"MINISTERIO DE CIENCIAS Y TECNOLOGÍA","ANID","Becas Nacionales de Postgrado",30,2,"NA",1,24,1,221
"MINISTERIO DE CIENCIAS Y TECNOLOGÍA","ANID","Fondo Nacional de Desarrollo Científico y Tecnológico (FONDECYT) ",30,2,"NA",1,24,3,160
"MINISTERIO DE CIENCIAS Y TECNOLOGÍA","Programa iniciativa Científica Milenio","GASTO CORRIENTE",30,2,"NA",1,"NA","NA","NA"
"MINISTERIO DE CIENCIAS Y TECNOLOGÍA","Programa iniciativa Científica Milenio","Programa Iniciativa Científica Milenio",30,2,"NA",1,24,1,322
"MINISTERIO DE CULTURA Y PATRIMONIO","CONSEJO DE MONUMENTOS NACIONALES","GASTO CORRIENTE",29,3,3,"NA","NA","NA","NA"
"MINISTERIO DE DEFENSA","INSTITUTO GEOGRÁFICO MILITAR","Sociedad Internacional de Fotometría y Sensores Remotos",11,19,"NA","NA",24,7,5
"MINISTERIO DE DEFENSA","INSTITUTO GEOGRÁFICO MILITAR","Unión Internacional de Geodesia y Geofísica ",11,19,"NA","NA",24,7,2
"MINISTERIO DE DEFENSA","INSTITUTO GEOGRÁFICO MILITAR","GASTO CORRIENTE",11,19,"NA","NA","NA","NA","NA"
"MINISTERIO DE DEFENSA","SERVICIO HIDROGRÁFICO Y OCEANOGRÁFICO DE LA ARMADA","Comité Científico de Investigación Oceánica",11,20,"NA","NA",24,7,2
"MINISTERIO DE DEFENSA","SERVICIO HIDROGRÁFICO Y OCEANOGRÁFICO DE LA ARMADA","GASTO CORRIENTE",11,20,"NA","NA","NA","NA","NA"
"MINISTERIO DE DEFENSA","SERVICIO AEROFOTOGRAMÉTRICO DE LA FACH","GASTO CORRIENTE",11,22,"NA","NA","NA","NA","NA"
"MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA","CORPORACION NACIONAL DE DESARROLLO INDÍGENA","GASTO CORRIENTE",21,6,1,"NA","NA","NA","NA"
"MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA","CORPORACION NACIONAL DE DESARROLLO INDÍGENA","Programa de apoyo a la Protección Ambiental Indígena",21,6,1,"NA",24,3,888
"MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA","CORPORACION NACIONAL DE DESARROLLO INDÍGENA","Protección del Medio Ambiente y Recursos Naturales",21,6,1,"NA",24,1,589
